region,town,country,town_country,business name,physical address,phone number
eastern,Ewaso Nyiro,",Kenya","Ewaso Nyiro, Kenya",Bonafra-Sura Area,Narusora Trading Center,0722 967 507
eastern,Karama,",Kenya","Karama, Kenya",Dorjols Investment,"Karama Market,At the Main Stage",0728 898 715
eastern,Kitui,",Kenya","Kitui, Kenya",Milligan Heritage Katutu,Kabati Market,0720 989 977
eastern,Kitui,",Kenya","Kitui, Kenya",Mambo Electronics,Opposite KCB Bank,0722 428 470
eastern,Kitui,",Kenya","Kitui, Kenya",Generation Electronics Kitui,Opposite Kcb Bank,0729 608 000
eastern,Kitui,",Kenya","Kitui, Kenya",Safaricom Retail Centre,Muli Opposite Equity Bank,0711 388 963
eastern,Kimana,",Kenya","Kimana, Kenya",Markpoint Kimana,"Kimana town, at Loitoktok stage opposite Cross Road hotel",0727 097 501
eastern,Kiutine,",Kenya","Kiutine, Kenya",Destiny Electronics,"Kiutine Market,(Near Meru National Park),Opposite Mkulima Stores",0724 832 102
eastern,Laare,",Kenya","Laare, Kenya",Katharaka Electronics,"Near Main Stage,Opposite Bull Bull Chemist,Next Jm Electronics",0723 357 811
eastern,Loitoktok,",Kenya","Loitoktok, Kenya",Phonez Wireless Communications loitoktok,"Near Ilham Supermarket, Next To Main Market",0724 321 552
eastern,Loitoktok,",Kenya","Loitoktok, Kenya",Kinfone Communications,Near Post Office,0721 510 088
eastern,Machakos,",Kenya","Machakos, Kenya",Cyber Com Cafe,"Mawa Building, Next To Joyland Restaurant, Nunguni Market",0711 904 106
eastern,Machakos,",Kenya","Machakos, Kenya",Image Connections,Musau Mwania Building Next To Safaricom House,0722 388 824
eastern,Machakos,",Kenya","Machakos, Kenya",Generation Electronics Machakos,Next to Safaricom Shop Machakos,0725 180 765
eastern,Machakos,",Kenya","Machakos, Kenya",Safaricom Retail Centre,"ABC Plaza, Opposite T.Tot Restaurant",0720 582 127
eastern,Marimanti,",Kenya","Marimanti, Kenya",Iringo Electronics,Kibui Investments Building Off Gatunga Street,0720 361 732
eastern,Marimanti,",Kenya","Marimanti, Kenya",Obedient Solartech Systems,"Marimanti Market,Opposite the Depot",0723 369 715
eastern,Makindu,",Kenya","Makindu, Kenya",Jeshcom Electronics,Makindu Main Stage,0722 111 808
eastern,Magadi,",Kenya","Magadi, Kenya",Pekimu Communications,Sokoni Next to Magadi Plant,0726 754 848
eastern,Matuu,",Kenya","Matuu, Kenya",Image Connection,"Along Jua Kali Street,Tala House",0712 243 047
eastern,Matuu,",Kenya","Matuu, Kenya",Thaisu Matuu,"Kimiti,Off Kangundo Road At Nimroad Junction after Kantafu",0722 962 899
eastern,Matuu,",Kenya","Matuu, Kenya",Generation Electronics Matuu,Opposite Bidii Supermarket,0726 299 372
eastern,Maua,",Kenya","Maua, Kenya",Clarex Agencies Ltd,"Kenduba House,Opposite Methodist Hospital,Kanuni stage",0726 361 220
eastern,"Maua, Mutuati",",Kenya","Maua, Mutuati, Kenya",Geofrey Auto Spares,Mutuati Shopping Centre Next to Kabachi Stage,0726 352 525
eastern,Maua,",Kenya","Maua, Kenya",Safaricom Retail Centre,Next To KCB Bank,0714 242 711
eastern,Meru,",Kenya","Meru, Kenya",Njumwa Mobiles,Near Uchumi Supermarket Behind Equity Bank,0726 716 048
eastern,Meru,",Kenya","Meru, Kenya",Isaco Computers,"Mikinduri Market,Along Meru-Mikinduri-Maua Rd,Tigani East,Near Mwangaza Hardware",0710 346 000
eastern,Meru,",Kenya","Meru, Kenya",High Energy Power,"Moi Avuene Chloride Depot,Before Equity Bank",0721 515 099
eastern,Meru,",Kenya","Meru, Kenya",Kings Mobiles,Njuri Njeke Street At Ndeiya Building,0720 326 218
eastern,Meru,",Kenya","Meru, Kenya",Safaricom Retail Centre,Njure Njeke Street Opposite National Oil Petrol Station,0700 506 281
eastern,Meru,",Kenya","Meru, Kenya",Snowman Company Ltd,"Along Ghana Street,Opposite Uchumi Supermarket",0726 718 038
eastern,Meru,",Kenya","Meru, Kenya",Steblo Connections,"Along Njuri Njeke Street,Next to Eco Bank",0728 893 344
eastern,Mitunguu,",Kenya","Mitunguu, Kenya",Mitunguu Agrovet,"Along Nkubu - Tharaka Nthi, Mitunguu Market",0721 235 500
eastern,Mwingi,",Kenya","Mwingi, Kenya",Peak Africa Mwingi,"Next To Fresh Produce Market, Opposite Virotec Bookshop",0721 200 084
eastern,Mwingi,",Kenya","Mwingi, Kenya",Generation Electronics Mwingi,"Along Garissa Highway,Near Hodari Bookshop",0721 648 158
eastern,Mwingi,",Kenya","Mwingi, Kenya",Best Solution,Next To Osa Vinya,0723 602 626
eastern,Nkubu,",Kenya","Nkubu, Kenya",Kings Mobiles,"Icon Plaza, Along Meru - Nairobi Highway",0720 326 218
eastern,Nkubu,",Kenya","Nkubu, Kenya",Copper Belt Communication,"Main Stage,Next to Jube Supermarket",0725 690 069
eastern,Nthangarine,",Kenya","Nthangarine, Kenya",Joliam Entrprises,"Nthangarine Center,Next to Methodist church",0725 286 701
eastern,Siakago,",Kenya","Siakago, Kenya",Shalom Computers,"Along Siakago - Kiritire Road, Mavuria Building, Siakago Market",0721 759 746
eastern,Tala,",Kenya","Tala, Kenya",Rat Race Shop,Opposite Total Petrol Station,0712 748 454
eastern,Tala,",Kenya","Tala, Kenya",Generation Electronics Tala,"Kaseveni Building,Near bus stage",0700 172 222
eastern,"Tunyai, Meru South",",Kenya","Tunyai, Meru South, Kenya",Drip Technology,Opposite Tunyai Health Centre,0721 227 686
eastern,Wamunyu,",Kenya","Wamunyu, Kenya",Kangoko Electronics,"Along Machakos-Kitui Road, Near Wamunyu Petrol Station",0713 277 132
eastern,"Wote, Makueni",",Kenya","Wote, Makueni, Kenya",Sunshine Electronics-Wote,Wote Shopping Centre on KCB Bank Building,0727 498 601
eastern,Wote,",Kenya","Wote, Kenya",Generation Electronics Wote,Near KCB Bank,0724 342 789
eastern,Oldonyo-Orok,",Kenya","Oldonyo-Orok, Kenya",Gatemara Hotel,"Transmara road,Oldonyo Orok Center,Next to Chifa Bookshop",0718 263 483
nairobi,Nairobi,",Kenya","Nairobi, Kenya","M-KOPA, Nairobi - Kawangware foraSoda","At the end of 56 stage, next to Mbukinya booking stage at Fora Soda depot",0708 086 591
nairobi,Buruburu,",Kenya","Buruburu, Kenya",Safaricom Retail Centre,"Buruburu Phase 2, Behind Kenya National Library, Next To St James Church",0716 124 058
nairobi,Eastleigh,",Kenya","Eastleigh, Kenya",Safaricom Retail Centre,Nomad Palace Hotel Building Ground Floor Opposite Former KBS Garage,0716 124 058
nairobi,Embakasi,",Kenya","Embakasi, Kenya",Mobile World (K) Ltd,Near Kobil Petrol Station / Nakumatt Supermarket,0727 536 865
nairobi,Isinya,",Kenya","Isinya, Kenya",You & Me Tech,Delmonk Building Opposite Massmatt Supermarket,0722 578 557
nairobi,Kajiado,",Kenya","Kajiado, Kenya",Best Electronics,"Gass House, Between K Rep Bank & Equity Bank",0723 532 655
nairobi,Kajiado,",Kenya","Kajiado, Kenya",Yes We Can,"Bissel Shopping Centre, Along Namanga Road",0723 445 198
nairobi,Kawangware,",Kenya","Kawangware, Kenya",Bennymerry Telefast Business,"Kawangware 56, Salim Road, Between Legio Maria and Stage Two Opposite Balozi Butchery.",0725 070 180
nairobi,Kilimani,",Kenya","Kilimani, Kenya",Mweche Fone Ventures,"Suite B2 2nd Floor Machera Court, Komo Lane Off Wood Avenue",0704 024 111
nairobi,Kisamis,",Kenya","Kisamis, Kenya",Mama Eric Shop,Kisamis Shopping Center,0710 341 275
nairobi,Kiserian,",Kenya","Kiserian, Kenya",Trindad Enterprises,Near Total Petrol Station,0723 065 950
nairobi,Kitengela,",Kenya","Kitengela, Kenya",Island Manangement,Chairman Place,0721 630 998
nairobi,Kitengela,",Kenya","Kitengela, Kenya",Image Connections,Nalepo Building Ground Floor,0712 479 114
nairobi,Kitengela,",Kenya","Kitengela, Kenya",Kina Chemist,"Tarino Building, Opposite Gate Hotel",0717 210 778
nairobi,Kitengela,",Kenya","Kitengela, Kenya",Rophem Telecom,Next to Eastmatt Supermarket Kitengela,0721 852 770
nairobi,Komarock,",Kenya","Komarock, Kenya",Good Luck Stores,Near Komarock Methodix At The Roundbout,0724 509 530
nairobi,Lavington,",Kenya","Lavington, Kenya",Lavington Hardware,Next To Chadarana Supermarket,0722 540 664
nairobi,Nairobi,",Kenya","Nairobi, Kenya",Safaricom Retail Centre,"Along Langata Road at Magadi Road Juction, Galleria Mall",0716 937 577
nairobi,Nairobi,",Kenya","Nairobi, Kenya",Safaricom Retail Centre,"Parkland Road off Karuna Road,Sarit Centre",0715 603 400
nairobi,Nairobi,",Kenya","Nairobi, Kenya",Bell Kenya Company Limited,"Mpaka Road,Jethro Chambers,Westlands",0722 526 777
nairobi,Nairobi,",Kenya","Nairobi, Kenya",Rasasi Investment Ltd,"Quincy Mall,Along Kungu Karumba road,Langata,Otiende",0722 493 122
nairobi,Nairobi,",Kenya","Nairobi, Kenya",Mara Logistics Support Ltd,"Njengi House 4th Floor, Tom Mboya street.",0721 255 871
nairobi,Nairobi,",Kenya","Nairobi, Kenya",Untouchable Limited,"Ngong road,Behind Tuskys supermarket",0722 543 310
nairobi,Nairobi,",Kenya","Nairobi, Kenya",Safaricom Retail Centre,"Along Ngong Road,Opposite Kenya Science Nairobi Campus",0722 114 655
nairobi,Nairobi CBD,",Kenya","Nairobi CBD, Kenya",Safaricom Retail Centre,"Moi Avenue, Next To Kenya Cinema",0728 248 598
nairobi,Nairobi CBD,",Kenya","Nairobi CBD, Kenya",Copymax Printers and Stationeries Ltd,Opposite New Stanley Hotel,0721 354 294
nairobi,Nairobi CBD,",Kenya","Nairobi CBD, Kenya",Cyber Com Cafe,"Along Tom Mboya Street Stewart House 1St Floor, Room 4",0711 904 106
nairobi,Nairobi CBD,",Kenya","Nairobi CBD, Kenya",Safaricom Retail Centre,"I&M Building, Kenyatta Avenue",0726 907 478
nairobi,Nairobi CBD,",Kenya","Nairobi CBD, Kenya",Safaricom Retail Centre,"Kimathi Street,Next to Nation Center Building",0715 603 400
nairobi,Nairobi CBD,",Kenya","Nairobi CBD, Kenya",Quiznas Hair and Beauty Parlour,Along Moi Avenue Kenya Cinema Building,0722 596 851
nairobi,Nairobi CBD,",Kenya","Nairobi CBD, Kenya",Cheche Telecommunications,"Lonhro House, 2nd Floor, Kaunda Street",0722 715 836
nairobi,Nairobi CBD,",Kenya","Nairobi CBD, Kenya",Kenpat Communications Limited,"New Stanley Hotel Building, Ground Floor Opposite Lornho House",0713 323 882
nairobi,Ngong,",Kenya","Ngong, Kenya",Wataalamu Company Limited,Opposite Barclays Bank,0722 440 294
nairobi,Nyayo Stadium,",Kenya","Nyayo Stadium, Kenya",Safaricom Retail Centre,"Nakumatt Mega, Near Nyayo Stadium",0710 790 399
nairobi,"Utawala, Nairobi",",Kenya","Utawala, Nairobi, Kenya",Shechinah Home Systems Limited-Utawala,"Kwa Chief Stage,After AP training school",0725 209 906
nairobi,Westlands,",Kenya","Westlands, Kenya",Safaricom Sacco Limited,"Safaricom Sacco Office, Safaricom Building Near Sarit Centre",0722 003 228
nairobi,Westlands,",Kenya","Westlands, Kenya",D.light Office,James Gichuru Road,0724 458 839
north eastern,Garissa,",Kenya","Garissa, Kenya",Safaricom Garissa,"Jihan Center,Near the round about",0702 033 243
north eastern,Habaswein,",Kenya","Habaswein, Kenya",Cliff Promoters-Habaswein District,"Along Garissa-Wajir Highway,Mogodoshe Junction,Opposite First Community Bank",0718 050 548
north eastern,Marsabit,",Kenya","Marsabit, Kenya",Somar Shop,Next to Kenya Women Trust Fund,0721 764 019
north eastern,Wajir,",Kenya","Wajir, Kenya",Cliff Promoters,Near Transcounty Bus,0722 112 207
nyanza,Kisii,",Kenya","Kisii, Kenya","M-KOPA, Sori Hi Five Service Center",Sori town along main street next to Co-operative bank.,0702 164 092
nyanza,Kisumu,",Kenya","Kisumu, Kenya","M-KOPA, Luanda Cranes Chemist","Kisumu -Busia rd ,Luanda town next to Equity Bank.",0702 164 157
nyanza,Kisumu,",Kenya","Kisumu, Kenya","M-KOPA,Aram Cool Breeze Shop","Aram Cool Breeze Shop Asembo Bay, Aram Town",0702 164 197
nyanza,Kisii,",Kenya","Kisii, Kenya","M-KOPA,Sondu Pebo (K) Limited","Along Kisii-Kisumu road,close to sondu main market next to Equity ATM,before National Oil",0702 164 174
nyanza,Kisumu,",Kenya","Kisumu, Kenya","M-KOPA, Port Victoria Mama Salama Shop","Port Victoria Town, Next Kenya Commercial Bank (KCB)",0724 021 844
nyanza,Keroka,",Kenya","Keroka, Kenya","M-KOPA,Keroka Cheche Telecom",Keroka town county opposite keroka police station.,071 0919 865
nyanza,Kisii,",Kenya","Kisii, Kenya","M-KOPA, Kehancha Kazimoni Warehouse",Kehancha town at the stage next to Kehancha municipal market,0710 919 317
nyanza,Kisumu,",Kenya","Kisumu, Kenya","M-KOPA, Oasis Shop-Muhoroni",Next to Kenya Commercial Bank Muhoroni Town,0710 919 769
nyanza,Kisumu,",Kenya","Kisumu, Kenya","M-KOPA, Daimalane Chemists",Ahero Kisii road Katito town next to Kenya Womens bank,0710 919 871
nyanza,Rongo,",Kenya","Rongo, Kenya","M-KOPA, Rongo - Ramogi",Along Migori Isbania road opposite Migori primary School.,0708 086 605
nyanza,Kisumu,",Kenya","Kisumu, Kenya","M-KOPA, Kisumu - Maggos Agrovet",Directly opposite Kammas petrol station.,708 086 610
nyanza,Kisii town,",Kenya","Kisii town, Kenya","M-KOPA, Kisii - Fargo",Daraja Mbili next to Honda office.,0708 086 571
nyanza,Siaya town,",Kenya","Siaya town, Kenya","M-KOPA, Siaya - evolution investment",Siaya centre building next to post bank building.,0708 086 577
nyanza,Ogembo,",Kenya","Ogembo, Kenya","M-KOPA, Ogembo","Ogembo town at the main stage, opposite swata supermarket off the main highway",0708 086 489
nyanza,Bondo,",Kenya","Bondo, Kenya","M-KOPA, Bondo - Sunny electronics",Bondo Town at the main stage.,0708 086 573
nyanza,Homabay,",Kenya","Homabay, Kenya","M-KOPA, Homabay - Outspring investments","Directly opposite police line, next to Homabay posta, or next to twin tower hotel.",0708 086 486
nyanza,Nyamira,",Kenya","Nyamira, Kenya","M-KOPA, Keleen animal services",Nyamira-Nyabite Market Next to KPLC.,0708 086 616
nyanza,Ahero,",Kenya","Ahero, Kenya",El Shadai Electronics Ahero,"Along a Thousand street,Next to Bata,Oppossite Sunbathe Electrical",0710 239 200
nyanza,Akala,",Kenya","Akala, Kenya",Tahidi Capital Limited,"Akala Trading Center, Along Kisumu Bondo Road",0715 276 689
nyanza,Amagoro,",Kenya","Amagoro, Kenya",Bokanda Mpesa Shop,"Along Eldoret-Malaba Road, Opposite Koteko Enterprises",0721 388 802
nyanza,Asembo Bay,",Kenya","Asembo Bay, Kenya",Kadongo Hardware,Along Bondo-Ndori rd,0712 110 139
nyanza,Awasi,",Kenya","Awasi, Kenya",Ayany Enterprises,"200m off Kisumu - Nairobi Highway On Awasi - Gatito Road, near Awasi Resort Club",0722 713 328
nyanza,Awendo,",Kenya","Awendo, Kenya",Elicom Systems,Raneen Market Centre,0700 552 677
nyanza,Awendo,",Kenya","Awendo, Kenya",Nyarkadera Agrovet,Opposite Equity Bank,0721 233 923
nyanza,Bondo,",Kenya","Bondo, Kenya",Mama Carole Store,Migingo Market,0715 828 563
nyanza,Bumala,",Kenya","Bumala, Kenya",Nango Shop,"Along Funyula Road,Opposite The Main Gate",0722 796 445
nyanza,Bondo,",Kenya","Bondo, Kenya",Cehni Ltd,"2nd Street,Opposite Walkers Hotel",0716 172 157
nyanza,Bondo,",Kenya","Bondo, Kenya",Queens Video Library,"Main Stage,Behind Bondo Palace Bar",0716 328 928
nyanza,Bukuga,",Kenya","Bukuga, Kenya",Mungoma Communications,Along Majengo Lwanda Road Vihiga,0725 024 050
