"","WARD","COUNTY","STATUS","TYPE"
"35","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"36","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"37","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"38","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"39","GITUAMBA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"40","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"41","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"42","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"43","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"44","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"45","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"46","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"47","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"48","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"49","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"50","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"51","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"52","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"53","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"54","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"55","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"56","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"57","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"58","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"59","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"60","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"61","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"62","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"63","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"64","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"65","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"66","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"67","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"68","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"69","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"70","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"71","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"72","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"73","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"74","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"75","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"76","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"77","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"78","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"79","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"80","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"81","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"82","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"83","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"84","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"85","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"86","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"87","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"88","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"89","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"90","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"91","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"92","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"93","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"94","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"95","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"96","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"97","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"98","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"99","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"100","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"101","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"102","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"103","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"104","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"105","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"106","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"107","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"108","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"109","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"110","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"111","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"112","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"113","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"114","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"115","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"116","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"117","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"118","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"119","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"120","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"121","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"122","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"123","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"124","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"125","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"126","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"127","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"128","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"129","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"130","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"131","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"132","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"133","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"134","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"135","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"136","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"137","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"138","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"139","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"140","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"141","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"142","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"143","CHANIA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"144","MANG'U","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"145","MANG'U","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"146","MANG'U","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"147","MANG'U","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"148","MANG'U","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"149","MANG'U","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"150","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"151","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"152","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"153","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"154","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"155","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"156","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"157","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"158","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"159","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"160","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"161","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"162","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"163","GITHOBOKONI","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"164","CHANIA","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"165","CHANIA","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"166","CHANIA","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"167","CHANIA","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"168","CHANIA","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"169","CHANIA","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"170","CHANIA","KIAMBU COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"174","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"175","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"176","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"177","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"178","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"179","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"180","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"181","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"182","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"183","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"184","NDARUGU","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"185","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"186","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"187","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"188","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"189","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"190","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"191","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"192","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"193","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"194","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"195","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"196","NGENDA","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"197","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"198","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"199","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"200","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"201","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"202","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"203","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"204","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"205","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"206","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"207","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"208","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"209","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"210","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"211","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"212","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"213","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"214","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"215","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"216","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"217","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"218","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"219","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"220","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"221","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"222","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"223","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"224","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"225","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"226","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"227","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"228","KIGANJO","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"229","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"230","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"231","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"232","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"233","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"234","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"235","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"236","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"237","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"238","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"239","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"240","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"241","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"242","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"243","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"244","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"245","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"246","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"247","KIAMWANGI","KIAMBU COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
