ADEMASAJIDA,ADEMASAJIDE
LEMBUS PERKERRA,LEMBUS/PERKERRA
LOKICHOGIO,LOKICHOGGIO
MALAHA /ISONGO,MALAHA/ISONGO/MAKUNGA
MALINDI,MALINDI TOWN
MALKA GHUF,MALKAGUFU
MANGU,MANG'U
MANYATTA B,MANYATTA 'B'
MARABA,MARA
MARACH WEST,MARACHI WEST
MARENYO/SHIANDA,MARENYO - SHIANDA
MARIGAT/EWALEL/KIMONDIS,MARIGAT
MATAPA NORTH,MATAPATO NORTH
MATAPA SOUTH,MATAPATO SOUTH
MITAMBONI,MITABONI
MITUUNGU,MITUNGUU
MLANGO,MLANGO KUBWA
MOIBEN KUSERWO,MOIBEN
MUHORONI /KORU,MUHORONI/KORU
MUKAA/KAITANGO,MUKAA
MUKURWEINI CENTRAL,MUKURWE-INI CENTRAL
MUMBERES/MAJIMAZURI,MUMBERES/MAJI MAZURI
MUTARAKWO,MUTARAKWA
MUTU-INI,MUTITUNI
MUVAU KIUKUMINI,MUVAU/KIKUUMINI
MUVUTI/KIIMA KIMWE,MUVUTI/KIIMA-KIMWE
MWINGI CENTRAL,MWIMBI
NAMBOBOTO/NAMBUKU,NAMBOBOTO NAMBUKU
NANAM,NANAAM
NDALU/TABANI,NDALU/ TABANI
NGARARIA,NG'ARARIA
NJABANI/KIBURU,NJABINI\KIBURU
NJUKI-INI,NJUKIINI
NORTH  KINANGOP,NORTH KINANGOP
NYAYO HIGH RISE,NYAYO HIGHRISE
NZAMBONI,NZAMBANI
OLLESSOS,OL'LESSOS
OLOOSIRKON/SHJOLINKE,OLOOSIRKON/SHOLINKE
PARKLANDS,PARKLANDS/HIGHRIDGE
PONGWE,PONGWE/KIKONENI
PORO,PORRO
RABAI /KISURUTINI,RABAI/KISURUTINI
RACE COURSE,RACECOURSE
RONGE,RONG'E
RUIRI / RWARERA,RUIRI/RWARERA
RUMA/KAKSINGRI,RUMA-KAKSINGIRI EAST
RUSINGA,RUSINGA ISLAND
SAIMO SOI,SAIMO/SOI
SANG'ALO/KEBULONIK,SANGALO/KEBULONIK
SHAURI MOYO KALOLENI,SHAURIMOYO KALOLENI
SHELA,SHELLA
SILIBWET,SILIBWET TOWNSHIP
SITIKO,SITIKHO
SOYSAMBU /MITUA,SOYSAMBU/ MITUA
SYOKIMAU/MLOLONGO,SYOKIMAU/MULOLONGO
TESO,TEZO
TINDERET,TINDIRET
TINGANGA,TING'ANG'A
TONGAREN/KIMININI,TONGAREN
UPPERSAVANAH,UPPER SAVANNAH
WAIA -KAKO,WAIA/KAKO
WANG'CHIENG,WANGCHIENG
WEI WEI,WEIWEI
WEST YIMBO,YIMBO WEST
WOODLEY/KENYATTA,WOODLEY/KENYATTA GOLF COURSE
ZOMBE MWITIKA,ZOMBE/MWITIKA
